Age,DistToWork,DualInc,Education,Gender,Income,Language,NbrInHouseHold,NbrInHouseholdUnder18,OwnRent,Rider,YrsInArea
3,13,Y,3,F,7,English,2,0,Rent,No,5
4,9,N,5,M,8,English,1,0,Own,No,3
3,10,Y,2,F,3,English,3,0,Rent,Yes,5
2,10,N,2,F,1,English,4,1,Parent,Yes,5
2,13,N,4,M,8,English,5,0,Parent,Yes,4
4,10,Y,5,F,7,English,4,2,Own,No,5
3,8,N,4,M,3,English,1,0,Rent,No,3
5,8,N,4,F,8,English,2,0,Own,No,5
2,8,N,4,F,6,English,2,0,Rent,No,5
1,11,N,2,F,1,Spanish,2,0,Parent,Yes,5
4,14,Y,6,M,8,English,3,1,Rent,No,2
3,14,N,4,F,2,English,5,3,Rent,Yes,3
2,15,N,5,M,1,English,3,0,Parent,Yes,5
4,11,Y,6,M,8,English,4,0,Own,No,5
1,11,N,2,M,1,Spanish,1,6,Parent,Yes,1
3,13,N,4,M,2,English,2,0,Rent,Yes,5
2,12,N,4,M,8,English,4,1,Parent,Yes,5
1,12,N,1,M,1,English,4,2,Parent,Yes,5
5,10,N,5,F,8,English,2,0,Own,No,5
2,10,N,3,M,1,Other,4,1,Parent,Yes,3
6,18,N,4,M,8,English,1,0,Rent,No,5
4,13,Y,4,F,9,English,4,1,Own,No,5
3,10,N,2,F,1,Spanish,3,1,Rent,No,4
2,10,Y,4,F,3,English,3,0,Rent,No,5
3,15,Y,6,M,9,English,2,0,Own,No,4
4,13,N,3,F,4,English,1,0,Rent,Yes,5
3,12,Y,3,F,4,English,3,1,Own,Yes,2
1,12,N,2,F,1,English,4,2,Parent,Yes,5
2,11,N,6,M,6,English,3,0,Own,Yes,5
1,9,N,2,M,1,English,3,2,Parent,Yes,5
4,10,N,4,F,4,English,1,0,Own,Yes,4
1,12,N,2,M,1,Other,4,0,Parent,Yes,4
3,13,N,4,M,2,Spanish,2,0,Rent,Yes,3
3,16,N,4,M,5,English,2,0,Rent,No,5
2,8,N,4,M,6,English,2,0,Rent,No,4
2,9,N,3,M,2,English,1,0,Rent,Yes,1
4,14,Y,4,F,9,English,5,2,Own,No,5
6,12,N,5,M,7,English,3,0,Own,No,5
3,20,Y,4,M,9,English,5,3,Own,No,5
5,11,Y,4,M,9,English,2,0,Own,No,5
7,7,N,2,M,2,English,2,0,Own,No,5
1,10,N,2,F,1,English,3,1,Parent,Yes,5
7,15,N,4,M,5,English,2,0,Own,No,5
3,9,N,4,M,8,English,1,0,Own,No,3
3,11,Y,5,M,8,English,2,0,Own,No,2
1,10,N,2,M,1,Spanish,5,2,Parent,Yes,5
3,11,N,4,F,4,English,3,2,Rent,No,5
2,14,N,3,F,7,English,4,0,Parent,Yes,5
4,10,Y,4,F,8,English,2,0,Own,Yes,4
2,13,N,4,M,2,English,2,0,Rent,Yes,3
7,14,N,3,F,1,English,1,0,Own,Yes,5
4,9,Y,5,F,8,English,2,0,Own,No,4
6,13,Y,4,F,9,English,3,0,Own,No,5
5,5,Y,4,M,8,English,5,2,Own,No,5
2,10,N,3,M,2,Other,5,0,Rent,Yes,1
5,9,Y,4,F,6,English,2,0,Own,Yes,5
4,12,Y,5,M,9,English,4,1,Own,No,5
6,15,N,4,F,6,English,2,0,Rent,Yes,5
3,7,N,3,F,6,English,5,3,Own,No,5
3,14,Y,4,F,1,Other,2,0,Rent,Yes,1
3,10,N,3,F,3,English,2,1,Rent,Yes,2
6,11,N,5,M,7,English,2,2,Own,No,5
7,16,N,3,M,8,English,2,0,Own,No,5
2,12,N,4,M,2,English,1,0,Rent,No,5
3,16,N,6,M,5,English,3,0,Rent,No,5
2,14,N,4,M,9,English,5,1,Own,No,5
4,9,N,3,F,5,English,3,2,Rent,No,5
1,12,N,2,M,1,English,3,1,Parent,Yes,5
5,9,N,5,M,6,English,2,0,Own,No,5
3,14,Y,4,F,6,English,3,1,Rent,No,5
4,11,N,4,M,6,English,1,0,Rent,No,5
3,12,N,4,M,9,English,4,0,Parent,No,5
4,9,N,4,M,9,Other,1,0,Own,No,5
6,12,N,4,F,2,English,1,0,Rent,Yes,5
4,10,N,4,F,8,English,2,0,Own,No,5
4,12,Y,4,F,7,English,3,1,Own,No,5
5,16,N,5,F,9,English,2,0,Own,No,5
3,11,N,5,M,6,English,1,0,Own,Yes,5
2,11,N,4,F,2,English,2,0,Rent,Yes,5
2,13,N,4,F,1,Spanish,6,0,Parent,Yes,5
3,14,Y,5,M,9,English,2,0,Own,No,5
3,9,N,4,M,3,English,2,0,Own,Yes,5
6,14,N,4,F,8,English,3,2,Rent,No,5
5,16,Y,6,M,8,English,2,0,Own,No,5
3,10,N,3,M,2,English,2,0,Rent,Yes,3
7,15,Y,4,M,6,English,2,0,Own,No,5
3,6,Y,3,F,9,English,2,0,Own,No,2
1,8,N,2,F,1,English,4,2,Parent,Yes,5
5,9,N,4,F,8,English,3,0,Own,No,4
3,11,N,6,M,5,English,2,0,Rent,No,5
4,17,N,3,M,5,English,1,0,Rent,No,5
3,14,Y,4,M,9,English,4,0,Own,No,5
4,10,N,4,F,6,English,3,0,Parent,No,5
4,8,N,6,F,8,English,5,0,Own,No,3
2,12,N,4,M,5,English,1,0,Rent,No,5
2,14,N,3,M,1,English,2,0,Rent,Yes,1
3,9,N,5,M,6,English,1,0,Rent,No,2
4,9,Y,6,F,9,English,2,0,Own,No,3
3,12,Y,5,M,8,English,2,0,Own,No,5
2,12,N,5,M,2,English,1,0,Rent,Yes,2
3,13,Y,3,F,3,English,5,3,Rent,No,5
5,13,N,4,F,7,English,4,2,Own,No,4
2,10,N,4,F,6,English,4,1,Parent,Yes,5
7,10,Y,4,M,9,English,2,0,Own,No,5
3,15,Y,4,F,6,English,3,1,Own,No,2
3,8,N,2,M,4,English,3,0,Parent,Yes,5
1,9,N,2,F,1,English,6,1,Parent,Yes,2
3,12,Y,5,F,8,English,4,2,Own,No,5
2,10,N,3,F,1,Spanish,4,0,Parent,Yes,2
4,16,N,4,F,9,Spanish,5,3,Own,No,5
2,12,N,4,F,6,English,4,0,Parent,Yes,5
3,10,Y,4,M,8,English,2,0,Own,No,5
4,13,N,5,M,8,English,4,2,Own,No,5
2,12,N,3,M,6,English,4,1,Parent,Yes,5
4,13,N,4,F,6,English,5,2,Own,No,2
1,12,N,1,F,1,English,4,3,Parent,Yes,5
4,8,N,6,F,8,English,1,0,Rent,No,5
3,12,N,5,F,6,English,3,0,Parent,No,5
4,13,N,6,F,9,English,4,2,Own,No,5
3,15,N,4,F,6,English,2,0,Rent,No,5
2,8,N,3,M,7,English,1,0,Rent,No,5
2,7,N,3,M,2,English,4,0,Parent,Yes,2
3,11,Y,3,F,3,English,2,0,Own,Yes,5
6,13,Y,6,F,9,English,2,0,Own,No,5
3,11,Y,5,F,9,English,2,0,Rent,No,3
6,12,Y,6,M,9,English,2,0,Own,No,5
5,12,N,5,M,5,English,1,0,Rent,No,5
3,16,Y,6,M,9,English,2,0,Own,No,4
5,9,Y,6,M,8,English,2,0,Own,No,5
1,11,N,1,M,1,Spanish,4,1,Parent,Yes,3
3,10,Y,3,F,8,English,3,1,Rent,No,5
2,8,N,6,F,1,English,2,1,Parent,Yes,5
5,11,N,4,F,2,English,3,0,Own,Yes,3
3,11,N,4,M,5,English,2,0,Rent,No,5
7,10,N,5,F,7,English,2,0,Own,No,5
7,10,N,3,F,1,English,1,0,Rent,No,5
1,10,N,2,F,1,English,3,0,Parent,Yes,5
4,11,N,6,F,3,English,2,0,Own,Yes,4
4,15,Y,4,M,6,English,2,0,Own,No,5
6,15,N,4,F,7,Other,2,0,Own,No,2
3,12,N,3,M,6,English,3,0,Rent,No,5
2,15,Y,4,F,8,English,2,0,Own,Yes,5
4,12,Y,6,F,9,English,2,0,Own,No,3
4,13,N,3,F,1,English,2,0,Rent,No,5
3,12,N,3,F,6,English,4,2,Own,No,5
2,12,N,3,F,1,English,5,2,Parent,Yes,5
2,10,N,3,F,1,Spanish,3,2,Parent,Yes,5
3,11,N,5,F,6,English,2,0,Own,Yes,5
3,13,N,6,M,7,English,2,0,Rent,No,1
3,9,N,4,F,7,English,4,2,Own,No,5
4,8,N,5,F,8,English,4,2,Own,No,5
6,9,N,6,M,9,English,2,0,Own,No,3
2,14,N,4,M,7,English,4,0,Parent,No,5
6,12,Y,6,F,7,English,4,0,Own,No,5
3,11,Y,5,M,1,Other,2,0,Rent,Yes,1
2,13,N,3,F,1,English,4,0,Parent,Yes,5
2,11,N,4,M,3,English,5,2,Parent,Yes,5
1,9,N,2,F,1,English,3,1,Parent,Yes,5
1,12,N,2,F,1,English,5,3,Parent,Yes,4
3,8,Y,6,F,8,English,3,1,Own,No,5
7,13,N,5,M,6,English,2,0,Own,No,5
3,11,Y,4,F,9,English,2,0,Rent,No,2
3,14,Y,4,F,8,English,5,0,Own,No,5
2,12,N,5,M,3,English,3,0,Rent,Yes,1
4,11,Y,6,M,9,English,2,0,Own,No,5
4,12,Y,4,F,7,English,4,1,Own,No,5
2,10,N,4,M,1,English,9,5,Parent,Yes,5
3,11,N,4,F,4,English,2,1,Rent,No,5
3,15,N,6,F,8,English,2,0,Rent,No,2
2,11,N,4,M,6,English,1,0,Rent,No,2
2,13,N,4,M,8,English,4,1,Parent,Yes,5
3,6,Y,4,M,8,English,3,1,Own,No,5
2,9,N,2,M,8,English,4,0,Parent,No,5
3,12,N,4,M,9,English,1,0,Rent,No,4
3,10,N,5,M,6,English,2,0,Rent,No,4
4,10,N,4,F,7,English,5,4,Own,No,5
3,12,N,4,F,5,English,1,0,Rent,No,2
3,16,N,4,F,2,English,6,4,Rent,Yes,5
3,6,N,3,F,4,English,3,1,Rent,No,5
4,12,N,4,M,8,English,2,2,Own,No,2
2,12,N,4,M,2,English,1,0,Rent,Yes,2
6,12,N,3,M,6,English,3,1,Rent,No,5
3,9,N,3,F,6,Other,2,0,Rent,Yes,3
2,10,N,4,F,1,English,5,1,Parent,Yes,4
7,8,N,4,F,2,English,3,0,Own,Yes,5
3,11,N,3,F,3,English,1,0,Rent,Yes,3
4,12,N,3,F,6,English,3,1,Own,No,5
5,9,N,6,F,6,English,1,0,Own,Yes,3
6,5,Y,5,F,8,English,2,0,Own,No,5
5,12,N,6,F,9,English,3,0,Own,No,5
2,9,N,2,M,1,Other,3,0,Parent,Yes,3
3,12,N,5,M,8,English,1,0,Rent,No,2
2,11,N,3,M,5,English,4,0,Parent,Yes,5
2,12,N,2,F,1,English,3,0,Parent,Yes,5
2,17,N,5,F,2,English,4,0,Parent,Yes,2
4,13,Y,4,M,5,English,4,2,Own,No,2
3,12,N,6,F,9,English,4,2,Own,No,2
3,13,Y,3,F,4,English,2,0,Own,Yes,5
3,13,Y,4,F,7,English,2,0,Rent,No,2
1,14,N,2,F,1,Other,3,1,Parent,Yes,5
4,19,Y,6,M,9,English,5,2,Own,No,5
5,9,N,4,M,6,English,1,0,Rent,No,5
4,14,Y,3,F,7,English,3,1,Own,No,5
5,15,N,6,F,3,English,2,0,Own,Yes,5
7,11,N,6,F,9,English,1,0,Own,No,5
4,12,Y,5,F,5,English,3,1,Own,Yes,5
1,12,N,2,F,1,English,4,2,Parent,Yes,5
4,10,N,6,M,9,Spanish,2,0,Own,No,5
2,10,N,3,F,2,Spanish,4,1,Parent,Yes,5
3,11,N,5,M,9,English,1,0,Rent,No,5
3,11,Y,4,F,7,English,3,1,Own,No,5
3,16,N,5,F,7,English,2,0,Rent,No,1
4,15,Y,5,F,7,English,3,1,Own,No,5
6,12,N,6,M,9,English,2,0,Own,No,2
5,13,Y,5,F,7,English,4,2,Own,No,5
3,10,N,4,F,3,English,3,0,Parent,Yes,5
3,12,Y,6,F,7,English,4,2,Own,No,5
2,8,N,5,M,1,English,3,0,Rent,Yes,2
1,13,N,2,F,2,English,6,2,Parent,Yes,4
4,12,N,4,M,8,English,5,2,Own,No,4
3,11,Y,4,M,6,English,4,2,Own,No,5
7,16,N,5,M,3,English,2,0,Own,No,2
1,11,N,5,M,1,English,5,3,Parent,Yes,5
1,10,N,2,F,1,English,8,3,Parent,Yes,2
2,17,N,2,M,9,English,5,1,Own,Yes,5
1,10,N,2,F,1,English,2,1,Parent,Yes,5
1,9,N,2,M,1,English,2,1,Parent,Yes,5
2,16,Y,3,F,5,English,2,0,Rent,No,1
4,10,N,6,M,6,English,1,0,Rent,No,5
4,9,Y,3,F,5,English,2,0,Rent,Yes,4
2,9,N,4,F,8,English,5,0,Parent,No,5
3,9,N,5,F,2,English,3,1,Rent,No,3
3,9,N,3,F,5,English,4,2,Rent,No,5
6,12,N,4,M,2,English,1,0,Rent,Yes,5
1,14,N,1,F,1,English,3,1,Parent,Yes,5
3,13,Y,4,F,4,English,2,1,Rent,No,3
7,12,N,3,F,8,English,2,0,Own,No,5
6,14,Y,3,F,8,English,2,0,Own,No,5
1,9,N,1,M,1,Spanish,5,1,Parent,Yes,4
4,13,Y,5,F,9,English,3,1,Own,No,5
4,11,N,5,F,6,English,4,2,Own,No,5
6,12,N,4,M,7,English,2,0,Own,No,5
2,13,N,3,F,1,Other,4,1,Parent,Yes,5
2,12,N,5,M,1,English,3,0,Rent,Yes,3
5,11,Y,4,M,3,English,9,6,Own,Yes,5
5,10,Y,4,F,7,English,3,0,Own,No,2
7,13,N,4,F,5,English,1,0,Own,No,3
7,9,N,5,F,7,English,1,0,Own,No,5
7,17,N,4,M,4,English,3,0,Own,No,5
4,17,N,5,M,6,English,1,0,Own,No,2
4,14,N,4,F,4,English,1,0,Rent,Yes,5
2,14,N,4,F,4,English,4,0,Parent,Yes,5
7,13,N,4,M,8,English,2,0,Own,No,5
5,8,N,5,M,7,English,2,0,Own,No,5
2,12,N,6,M,1,English,2,0,Rent,Yes,1
2,16,N,4,M,5,Spanish,9,2,Rent,No,5
7,10,N,3,F,1,English,2,0,Rent,Yes,5
4,13,N,6,M,9,English,1,0,Rent,No,4
1,13,N,2,M,1,English,7,4,Parent,Yes,5
1,12,N,2,F,1,English,6,2,Parent,Yes,2
7,13,N,6,F,8,English,2,0,Own,No,5
6,14,Y,5,F,9,English,2,0,Own,No,5
4,15,N,4,F,7,English,1,0,Own,Yes,5
4,14,N,5,F,5,English,2,0,Own,Yes,4
3,16,Y,4,F,8,English,2,0,Rent,No,2
2,12,N,2,M,8,English,4,1,Parent,Yes,5
6,16,Y,4,M,8,English,3,0,Own,No,5
3,11,N,4,M,5,English,1,0,Rent,No,5
3,10,N,3,F,5,English,4,2,Own,No,3
4,11,Y,6,F,9,English,2,0,Own,No,4
1,12,N,4,M,3,English,2,2,Parent,Yes,5
2,13,N,4,M,2,English,1,0,Rent,Yes,2
4,14,Y,4,F,8,English,4,2,Own,No,5
6,13,N,6,M,9,English,2,0,Own,No,5
2,12,N,3,M,3,English,1,0,Rent,Yes,5
2,9,Y,4,M,5,English,2,0,Rent,No,5
2,12,N,4,F,1,English,4,1,Parent,Yes,1
5,16,Y,6,M,9,English,4,1,Own,No,5
3,12,N,5,M,6,English,1,0,Rent,No,2
2,10,N,5,M,3,English,1,0,Rent,Yes,2
7,8,N,5,F,7,English,1,0,Own,No,5
4,11,N,4,F,4,English,4,1,Own,No,4
1,13,N,2,M,1,English,6,2,Parent,Yes,5
6,9,N,4,F,4,English,1,0,Rent,Yes,5
2,9,N,2,F,1,English,3,0,Rent,Yes,3
4,8,N,4,M,3,English,1,0,Rent,No,5
1,14,N,2,F,1,English,4,2,Parent,Yes,5
1,11,N,2,M,1,English,4,1,Parent,Yes,5
2,10,Y,3,F,3,English,3,1,Rent,No,5
4,9,Y,4,F,8,English,4,2,Own,No,5
3,15,Y,4,F,8,English,3,1,Own,No,5
2,11,N,4,M,1,English,3,0,Rent,Yes,2
4,12,N,4,F,8,English,2,0,Own,No,5
6,6,N,3,F,5,English,2,0,Own,No,5
6,13,Y,5,M,8,English,4,0,Own,No,5
7,7,N,6,M,4,English,3,0,Own,No,5
4,15,N,5,F,5,English,4,1,Parent,No,5
4,10,N,6,M,2,English,1,0,Rent,Yes,5
1,12,N,1,M,1,Spanish,6,4,Parent,Yes,5
3,15,N,6,M,9,English,1,0,Rent,No,4
7,10,N,4,M,6,English,1,0,Own,No,5
2,8,N,4,F,1,English,4,1,Parent,Yes,5
3,9,Y,4,F,9,English,2,0,Own,No,5
4,13,N,6,M,3,English,1,0,Rent,Yes,2
5,15,Y,6,F,9,English,2,0,Own,No,5
4,12,Y,6,F,9,English,3,1,Own,No,5
5,10,N,5,M,8,English,2,0,Own,No,5
4,15,N,6,M,6,English,3,0,Rent,No,5
4,10,N,5,M,5,English,1,0,Rent,No,5
1,10,N,2,M,1,English,8,6,Parent,Yes,2
5,11,N,4,F,6,English,1,0,Own,Yes,5
7,13,N,3,F,5,English,1,0,Own,Yes,2
3,10,N,6,M,2,English,1,0,Rent,Yes,2
1,14,N,2,F,1,English,4,2,Parent,Yes,5
6,10,N,6,M,8,English,2,0,Own,No,5
2,9,N,3,F,6,Other,3,0,Parent,Yes,5
2,12,N,3,M,5,Other,5,0,Rent,No,3
2,10,N,5,M,3,English,2,0,Rent,Yes,5
1,9,N,2,F,1,English,4,2,Parent,Yes,3
4,11,Y,6,F,9,English,4,2,Own,No,5
4,12,Y,5,F,9,English,3,1,Own,No,5
1,13,N,2,M,1,English,4,2,Parent,Yes,5
5,11,Y,4,M,9,English,2,0,Own,No,5
2,13,N,5,M,7,English,1,0,Rent,No,2
2,14,N,4,F,1,Spanish,8,3,Parent,Yes,5
4,12,N,4,M,1,English,3,0,Parent,Yes,5
3,13,N,4,F,8,English,4,2,Own,No,2
6,14,N,4,M,3,English,1,0,Rent,Yes,5
6,12,N,3,F,2,English,2,0,Rent,No,5
3,11,N,4,M,6,English,2,0,Rent,No,5
4,12,N,5,M,7,English,1,0,Rent,No,5
7,10,N,3,F,2,English,1,0,Rent,Yes,5
5,13,N,3,F,1,English,1,0,Own,Yes,5
2,8,N,3,F,3,English,2,0,Rent,No,3
6,14,N,5,F,8,Other,2,0,Own,No,5
3,16,N,3,F,5,English,2,1,Rent,No,5
1,10,N,2,M,1,English,2,1,Parent,Yes,2
7,14,N,3,F,5,English,2,0,Own,No,5
3,10,Y,3,F,4,English,3,2,Rent,Yes,1
2,8,N,3,M,6,English,3,1,Parent,Yes,5
5,11,Y,5,F,9,English,2,0,Own,No,5
4,14,N,4,M,4,English,2,0,Rent,Yes,5
3,12,Y,6,F,9,English,4,2,Own,No,4
7,12,N,3,F,4,Spanish,2,0,Own,Yes,5
2,12,N,5,M,4,English,3,1,Rent,No,1
5,5,N,4,F,7,English,2,0,Own,No,4
1,11,N,2,F,1,English,3,1,Parent,Yes,5
2,11,N,3,M,4,English,4,1,Own,Yes,4
4,11,N,5,M,8,English,2,0,Rent,No,2
4,13,N,4,M,4,English,2,0,Rent,No,5
2,8,N,2,F,7,English,3,2,Parent,Yes,5
2,12,N,4,M,2,English,1,0,Rent,Yes,5
1,11,N,2,F,1,English,4,2,Parent,Yes,5
1,7,N,1,F,1,English,3,2,Parent,Yes,5
5,12,N,4,F,1,English,3,0,Parent,Yes,5
2,9,N,4,M,9,English,5,0,Parent,No,5
6,10,N,3,F,7,English,2,0,Own,No,5
7,8,N,3,F,4,English,1,0,Own,Yes,5
6,12,N,4,F,7,English,2,0,Rent,No,5
7,8,N,3,M,6,English,2,0,Own,No,5
2,13,N,5,F,6,English,5,0,Parent,No,5
4,16,Y,6,F,8,English,6,4,Own,No,5
1,13,N,2,F,1,English,4,3,Parent,Yes,4
4,9,Y,4,M,8,English,4,2,Own,No,5
4,9,N,6,M,3,English,1,0,Rent,Yes,4
1,9,N,2,F,1,English,6,3,Parent,Yes,2
6,11,N,6,M,9,English,2,0,Own,No,5
3,12,N,3,F,3,English,3,2,Rent,No,5
6,11,N,5,M,9,English,2,0,Own,No,4
2,8,N,3,F,1,English,5,3,Parent,Yes,3
2,5,N,3,M,8,English,6,2,Parent,No,5
5,15,Y,3,F,6,English,2,0,Own,Yes,5
1,13,N,1,F,1,English,3,2,Parent,Yes,3
3,9,N,4,F,1,English,3,2,Rent,Yes,4
6,8,N,3,F,2,English,1,0,Rent,Yes,5
4,13,Y,4,M,8,English,5,3,Own,No,5
4,8,N,5,M,7,English,1,0,Own,No,5
3,14,N,5,F,3,Other,4,0,Own,Yes,2
1,12,N,2,M,2,English,2,1,Rent,Yes,5
4,9,N,3,M,5,Other,3,1,Parent,Yes,5
5,11,N,6,M,4,English,1,0,Own,No,4
2,11,N,2,F,1,English,2,1,Rent,Yes,1
2,13,N,4,F,8,English,3,0,Parent,No,5
4,18,Y,5,F,8,English,5,3,Own,No,5
6,5,N,4,M,7,English,2,0,Own,No,5
1,17,N,1,F,1,English,2,1,Parent,Yes,5
1,14,N,2,F,1,English,3,1,Parent,Yes,3
4,14,N,4,F,1,Spanish,1,0,Parent,No,2
2,18,N,4,F,2,English,4,0,Parent,No,5
4,15,Y,5,F,6,English,3,1,Own,Yes,5
6,11,N,5,F,4,English,2,0,Own,Yes,5
3,15,N,2,M,4,Spanish,1,0,Rent,Yes,2
1,12,N,2,F,1,English,4,2,Parent,Yes,5
4,6,N,4,M,1,English,1,0,Rent,Yes,5
4,8,Y,6,F,9,English,2,0,Own,No,5
3,14,N,5,M,6,English,2,0,Own,No,3
5,16,Y,6,F,7,English,4,0,Own,No,4
3,9,N,5,M,5,English,2,0,Rent,No,2
2,10,N,4,F,1,English,6,2,Parent,Yes,2
7,13,N,4,F,8,English,2,0,Rent,No,5
5,12,N,6,M,9,English,2,0,Own,No,5
2,13,N,3,F,8,English,1,0,Parent,No,5
3,14,N,3,F,6,English,3,0,Parent,No,5
3,11,Y,6,M,9,English,2,0,Own,No,4
6,14,N,6,M,7,English,2,0,Own,No,5
2,12,N,6,M,7,English,1,1,Rent,No,2
6,9,N,6,F,7,English,1,0,Own,Yes,5
2,13,N,4,F,1,English,3,0,Parent,Yes,5
3,17,N,4,F,7,English,3,1,Own,No,5
2,15,N,4,M,1,English,3,0,Parent,Yes,5
7,10,N,3,F,4,English,2,0,Own,Yes,5
2,6,N,4,F,1,English,5,2,Parent,Yes,5
2,12,N,3,M,1,Other,3,0,Parent,Yes,5
3,11,Y,5,F,9,English,2,0,Rent,No,2
2,12,N,3,M,3,English,2,0,Rent,Yes,5
4,16,Y,4,F,6,English,4,2,Rent,No,3
4,14,N,4,F,9,English,4,2,Own,No,5
2,8,Y,4,F,8,English,2,0,Rent,No,5
2,11,N,2,M,9,English,5,1,Parent,Yes,5
4,7,Y,4,M,7,English,4,0,Own,No,5
5,12,N,4,F,6,English,2,0,Parent,No,5
6,11,N,3,F,2,English,2,0,Rent,No,5
7,10,N,2,F,2,English,2,0,Own,Yes,5
4,14,Y,4,F,7,English,4,0,Own,No,5
2,12,N,3,M,6,Spanish,4,1,Own,Yes,2
3,11,Y,5,F,6,English,2,0,Rent,No,2
2,15,N,3,F,4,English,2,0,Rent,No,5
4,10,N,5,M,8,English,1,0,Rent,No,3
5,8,N,2,M,2,Other,1,0,Rent,Yes,5
4,12,Y,4,F,9,English,2,0,Own,No,5
3,10,N,3,F,4,English,3,0,Rent,No,5
3,9,Y,3,F,7,English,3,1,Rent,No,2
5,15,N,4,F,4,English,9,2,Own,No,5
6,13,Y,5,M,9,English,2,0,Own,No,4
6,12,N,5,M,9,English,2,0,Own,No,5
2,5,N,5,F,5,English,4,0,Parent,Yes,5
7,10,N,5,M,4,English,2,0,Own,No,5
3,7,N,5,M,8,English,1,0,Rent,No,4
2,10,N,2,M,9,English,4,0,Parent,Yes,5
3,10,N,4,F,3,English,3,1,Rent,No,3
1,13,N,2,F,1,English,4,3,Parent,Yes,4
4,15,N,5,F,6,English,2,0,Rent,Yes,4
6,14,N,6,F,7,English,1,0,Own,No,5
4,10,Y,4,M,9,English,3,1,Own,No,5
4,10,Y,6,M,8,English,3,1,Own,No,5
7,13,N,6,M,8,English,2,0,Own,No,5
4,14,N,4,M,3,Other,5,0,Parent,Yes,5
2,11,N,3,M,1,English,2,6,Rent,Yes,3
5,9,Y,2,F,1,Spanish,5,2,Rent,Yes,3
4,12,N,3,F,8,English,3,0,Own,No,5
5,10,N,4,M,5,English,1,0,Rent,No,5
7,10,N,4,F,3,English,1,0,Own,Yes,5
7,12,N,3,M,3,English,3,0,Own,No,5
4,16,Y,4,M,7,English,3,0,Own,No,5
